,Unnamed: 0,Unnamed: 0.1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,ahorro,cheking,vivienda,proposito,outlier,Clusters,pca1,pca2
0,1,1,22,female,2,own,little,moderate,5951,48,radio/TV,1,1,0,0,1,-1,0.7544265701634257,-0.37767580548605006
1,2,2,49,male,1,own,little,None,2096,12,education,1,2,0,1,1,-1,-0.22567609282498552,-0.022151401217200682
2,4,4,53,male,2,free,little,little,4870,24,car,1,0,1,3,1,-1,0.17135846846392364,0.26792265597827364
3,6,6,53,male,2,own,quite rich,None,2835,24,furniture/equipment,2,2,0,2,1,-1,0.023348905816794795,0.120794306084905
4,9,9,28,male,3,own,little,moderate,5234,30,car,1,1,0,3,1,0,0.41539790377981467,0.09692247055600749
5,10,10,25,female,2,rent,little,moderate,1295,12,car,1,1,2,3,1,0,-0.136160514038813,0.08856615772735535
6,12,12,22,female,2,own,little,moderate,1567,12,radio/TV,1,1,0,0,1,1,-0.1477489681984534,-0.33532951849789744
7,14,14,28,female,2,rent,little,little,1403,15,car,1,0,2,3,1,0,-0.09198703500456658,0.10296638656257606
8,16,16,53,male,2,own,None,None,2424,24,radio/TV,0,2,0,0,1,-1,-0.0326504116521662,-0.15228539983721262
9,17,17,25,male,2,own,None,little,8072,30,business,0,0,0,4,1,-1,0.6302094359785166,0.22927985944088156
10,19,19,31,male,2,own,quite rich,None,3430,24,radio/TV,2,2,0,0,1,1,0.136941899538284,-0.288864922966553
11,20,20,48,male,2,own,little,None,2134,9,car,1,2,0,3,1,0,-0.24065181665975216,0.247939976633509
12,22,22,48,male,1,rent,little,little,2241,10,car,1,0,2,3,1,0,-0.21656076448169,0.2466781623489016
13,23,23,44,male,2,own,moderate,moderate,1804,12,car,4,1,0,3,1,0,-0.19224571679504165,0.21449552324574378
14,24,24,26,male,2,own,None,None,2069,10,furniture/equipment,0,2,0,2,1,0,-0.13876129680574248,-0.03206969871918076
15,25,25,36,male,1,own,little,little,1374,6,furniture/equipment,1,0,0,2,1,0,-0.2997315795931467,0.03616039088241404
16,26,26,39,male,1,own,little,None,426,6,radio/TV,1,2,0,0,1,1,-0.4050840366378597,-0.2206088404023514
17,28,28,34,male,2,own,little,moderate,2415,7,radio/TV,1,1,0,0,1,1,-0.2339934090285243,-0.24334237324915414
18,30,30,36,male,2,own,rich,moderate,1913,18,business,3,1,0,4,1,0,-0.03046988956657186,0.28740780751345657
19,31,31,27,male,2,own,little,little,4020,24,furniture/equipment,1,0,0,2,1,0,0.22351975763074441,-0.040640482044725874
20,32,32,30,male,2,own,moderate,moderate,5866,18,car,4,1,0,3,1,0,0.24257100175428548,0.136098996962695
21,37,37,37,male,2,own,little,rich,2100,18,radio/TV,1,3,0,0,1,1,-0.08099021008510052,-0.2464390569287947
22,38,38,37,male,2,own,little,rich,1225,10,domestic appliances,1,3,0,5,1,-1,-0.20236770439996438,0.44029795142930145
23,39,39,24,male,2,own,little,moderate,458,9,radio/TV,1,1,0,0,1,1,-0.28113097300721257,-0.3231591133309857
24,40,40,30,male,3,own,quite rich,None,2333,30,radio/TV,2,2,0,0,1,1,0.17212401141151415,-0.31297333708770714
25,41,41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,2,1,0,0,1,1,-0.19341484301157247,-0.31180541189849864
26,45,45,35,female,3,own,little,None,1393,11,car,1,2,0,3,1,0,-0.19389580665072437,0.1557425730195664
27,46,46,39,male,2,own,quite rich,None,2299,36,radio/TV,2,2,0,0,1,-1,0.22994419908869343,-0.2662013506014096
28,48,48,39,male,1,own,little,None,7228,11,car,1,2,0,3,1,0,0.17002664323174374,0.21540473638056326
29,49,49,28,female,2,own,moderate,None,2073,12,radio/TV,4,2,0,0,1,1,-0.14281182117778765,-0.2935640897735895
30,50,50,29,male,1,own,None,moderate,2333,24,furniture/equipment,0,1,0,2,1,0,0.10343911180631048,-0.037458612785556414
31,51,51,30,male,3,own,little,moderate,5965,27,car,1,1,0,3,1,0,0.4027145724880125,0.11974214293005261
32,52,52,25,male,2,own,little,None,1262,12,radio/TV,1,2,0,0,1,1,-0.1818835793742412,-0.31767631016921116
33,53,53,31,male,2,own,None,None,3378,18,car,0,2,0,3,1,0,0.07465623938628801,0.12817214902590432
34,54,54,57,male,2,free,little,moderate,2225,36,car,1,1,1,3,1,-1,0.1838834095811976,0.2559324799835197
35,55,55,26,male,1,own,None,None,783,6,car,0,2,0,3,1,0,-0.27688836813420836,0.10336225068748914
36,57,57,31,female,2,own,little,None,9566,36,radio/TV,1,2,0,0,1,-1,0.7443116799708317,-0.2759250397682493
37,60,60,27,male,2,own,little,moderate,1391,9,business,1,1,0,4,1,3,-0.17597855349341845,0.24306116725398327
